time,x_true,y_true,theta_true,x_est,y_est,theta_est
2.1567518370000003,-0.6625627229253976,-0.25167459811431436,-0.964815172960383,-0.09428285618697099,-0.14077533033416395,-0.40439302832845003
2.186818593,-0.6597285565429241,-0.2557440684837549,-0.9601039838277056,-0.25420492468858774,-0.26869271542828804,-0.7547056447148607
2.236650423,-0.657352127310417,-0.25912506348630465,-0.9561779928838283,-0.4212249316496292,-0.3429815787404541,-0.954345018602375
2.262359351,-0.6549624426706571,-0.2624967026168872,-0.9522520019399515,-0.5499869631055248,-0.38088819473780533,-1.0519202812274768
2.312844756,-0.6520773758407663,-0.2665302466613229,-0.9475408128073375,-0.6374103279730714,-0.3996160602793896,-1.0971456891035243
2.3487203890000004,-0.6496586592444962,-0.2698811201491328,-0.9436148218634607,-0.6947675068654474,-0.40829722355815706,-1.1165444606233113
2.394992437,-0.6472268058233575,-0.2732224719777344,-0.9396888309195268,-0.7322763006923065,-0.4118085659614912,-1.1225217181814846
2.42362826,-0.6442912938995831,-0.2772194530781045,-0.9349776417869129,-0.7567203692990413,-0.4128599980504624,-1.120898690303195
2.439152506,-0.6418306716884685,-0.28053967617882397,-0.9310516508430359,-0.772659441557344,-0.4124927293342584,-1.1151588423461523
2.470622048,-0.6388607470436105,-0.2845111539611065,-0.9263404617103582,-0.7826804082213954,-0.41160888703514364,-1.1067364376049258
2.496337644,-0.6363715396059568,-0.2878100006439251,-0.9224144707665453,-0.7886708589506921,-0.4103730757476528,-1.096851831397203
2.529654412,-0.6338694001429305,-0.29109904932279057,-0.9184884798226682,-0.7917419098111913,-0.4090114811123627,-1.086025356496869
2.561229226,-0.6308498168293484,-0.2950329030038056,-0.9137772906899904,-0.7925185123425023,-0.40780316209369627,-1.0743682181537935
2.5859298830000004,-0.6283193629441349,-0.29830021784005695,-0.9098512997461135,-0.7916340580019648,-0.4066287979506333,-1.06229960251342
2.6433883870000003,-0.6257761011448443,-0.301557572982603,-0.9059253088021799,-0.7894311616276937,-0.4055283175825828,-1.0499285306336261
2.68784088,-0.6227073357469538,-0.3054531816775574,-0.9012141196693882,-0.786053665786462,-0.4046578802738709,-1.0371577389002935
2.737393843,-0.6201360347987007,-0.3086884489830849,-0.897288128725149,-0.7817895292745388,-0.4038680585496968,-1.024244246258407
2.786991746,-0.6170337372109216,-0.31255740722124287,-0.8925769395921158,-0.7766731533116019,-0.40329426285514847,-1.011072557516059
2.847529202,-0.6144345889338472,-0.3157703453374356,-0.8886509486478764,-0.770903945171821,-0.40279508793508245,-0.9978742009154876
